artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
Television,Marquee Moon,0,0,0,1977,2021,24,173
Sex Pistols,God Save the Queen,0,0,0,1977,2004,18,173
R.E.M.,Radio Free Europe,0,0,0,1983,2021,11,174
The Rolling Stones,"Paint It, Black",0,0,0,1966,2004,14,174
The Flamingos,I Only Have Eyes for You,1,1,0,1959,2021,4,175
The Bobby Fuller Four,I Fought the Law,0,0,0,1966,2004,11,175
The Kinks,You Really Got Me,0,0,0,1964,2021,7,176
The Beach Boys,Don't Worry Baby,0,0,0,1964,2004,17,176
Van Halen,Jump,0,0,0,1983,2021,28,177
Tom Petty,Free Fallin',0,0,0,1989,2004,11,177
Billie Eilish,Bad Guy,1,0,1,2019,2021,14,178
Big Star,September Gurls,0,0,0,1974,2004,8,178
Pink Floyd,Comfortably Numb,0,0,0,1979,2021,7,179
Joy Division,Love Will Tear Us Apart,0,0,0,1980,2004,27,179
Lou Reed,Walk on the Wild Side,0,0,0,1972,2021,20,180
Outkast,Hey Ya!,1,1,0,2003,2004,2,180
The Byrds,Eight Miles High,0,0,0,1966,2021,29,181
Booker T. and the MGs,Green Onions,1,1,0,1962,2004,7,181
Simon and Garfunkel,The Sound of Silence,0,0,0,1964,2021,2,182
The Drifters,Save the Last Dance for Me,1,1,0,1960,2004,3,182
Stevie Wonder,You Are the Sunshine of My Life,1,1,0,1972,2021,15,183
B.B. King,The Thrill Is Gone,1,1,0,1969,2004,33,183
Sinead O'Connor,Nothing Compares 2 U,1,0,1,1990,2004,10,184
The Beatles,Please Please Me,0,0,0,1963,2004,7,184
Michael Jackson,Beat It,1,1,0,1982,2021,38,185
Bob Dylan,Desolation Row,0,0,0,1963,2004,8,185
The Staple Singers,I'll Take You There,1,1,1,1972,2021,10,186
Aretha Franklin,I Never Loved a Man (The Way I Love You),1,1,1,1967,2004,8,186
Bob Dylan,Subterranean Homesick Blues,0,0,0,1965,2021,8,187
AC/DC,Back in Black,0,0,0,1980,2004,26,187
The Jimi Hendrix Experience,Little Wing,1,1,0,1968,2021,35,188
Creedence Clearwater Revival,Who'll Stop the Rain,0,0,0,1970,2004,12,188
David Bowie,Space Oddity,0,0,0,1969,2021,29,189
Bee Gees,Stayin' Alive,0,0,0,1977,2004,14,189
N.W.A.,Fuck tha Police,1,1,0,1988,2021,30,190
Bob Dylan,Knocking on Heaven's Door,0,0,0,1973,2004,28,190
Bobbie Gentry,Ode to Billie Joe,1,0,1,1967,2021,8,191
Lynyrd Skynyrd,Free Bird,0,0,0,1973,2004,69,191
Geto Boys,Mind Playing Tricks on Me,1,1,0,1991,2021,9,192
Glen Campbell,Wichita Lineman,0,0,0,1968,2004,10,192
The Rolling Stones,Wild Horses,0,0,0,1971,2021,20,193
The Drifters,There Goes My Baby,1,1,0,1959,2004,15,193
PJ Harvey,Rid of Me,1,0,1,1993,2021,46,194
Buddy Holly,Peggy Sue,0,0,0,1957,2004,8,194
Patsy Cline,Crazy,1,0,1,1961,2021,13,195
The Chantels,Maybe,1,1,1,1957,2004,15,195
James Brown,Get Up (I Feel Like Being a) Sex Machine,1,1,0,1970,2021,14,196
Guns N' Roses,Sweet Child O' Mine,0,0,0,1987,2004,30,196
Ann Peebles,I Can't Stand the Rain,1,1,1,1973,2021,5,197
Elvis Presley,Don't Be Cruel,0,0,0,1956,2004,5,197
Marvin Gaye,Sexual Healing,1,1,0,1982,2021,17,198
The Jimi Hendrix Experience,Hey Joe,1,1,0,1966,2004,7,198
Aerosmith,Dream On,0,0,0,1973,2021,37,199
Parliament,Flash Light,1,1,0,1977,2004,8,199
David Bowie,Changes,0,0,0,1971,2021,20,200
Beck,Loser,0,0,0,1993,2004,22,200
Johnny Cash,Ring of Fire,0,0,0,1963,2021,9,201
New Order,Bizarre Love Triangle,0,0,0,1986,2004,8,201
Elton John,Your Song,0,0,0,1970,2021,8,202
The Beatles,Come Together,0,0,0,1969,2004,11,202
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1,1,0,1970,2021,10,203
Bob Dylan,Positively 4th Street,0,0,0,1965,2004,10,203
David Bowie,Young Americans,0,0,0,1975,2021,25,204
Otis Redding,Try a Little Tenderness,1,1,0,1966,2004,12,204
Britney Spears,...Baby One More Time,1,0,1,1998,2021,13,205
Bill Withers,Lean On Me,1,1,0,1972,2004,27,205
Glen Campbell,Wichita Lineman,0,0,0,1968,2021,10,206
The Four Tops,Reach Out (I'll Be There),1,1,0,1966,2004,14,206
Rage Against the Machine,Killing in the Name,0,0,0,1992,2021,40,207
The Everly Brothers,Bye Bye Love,0,0,0,1957,2004,6,207
Hole,Doll Parts,1,0,1,1994,2021,1,208
Them,Gloria,0,0,0,1964,2004,20,208
Don Henley,The Boys of Summer,0,0,0,1984,2021,32,209
The Beach Boys,In My Room,0,0,0,1963,2004,8,209
Funkadelic,One Nation Under a Groove,1,1,0,1978,2021,0,210
? and the Mysterians,96 Tears,1,1,0,1966,2004,9,210
U2,With or Without You,0,0,0,1987,2021,26,211
The Beach Boys,"Caroline, No",0,0,0,1966,2004,6,211
Boston,More Than A Feeling,0,0,0,1976,2021,17,212
Prince,1999,1,1,0,1982,2004,34,212
The Rolling Stones,"Paint It, Black",0,0,0,1966,2021,15,213
Hank Williams,Your Cheatin' Heart,0,0,0,1953,2004,6,213
Steely Dan,Deacon Blues,0,0,0,1977,2021,14,214
Neil Young,Rockin' in the Free World,0,0,0,1989,2004,14,214
Mobb Deep,"Shook Ones, Pt. II",1,1,0,1995,2021,27,215
The Chords,Sh-Boom,1,1,0,1954,2004,0,215
Elvis Presley,Jailhouse Rock,0,0,0,1957,2021,6,216
Stevie Nicks,Edge of Seventeen,1,0,1,1981,2021,8,217
Dolly Parton,Jolene,1,0,1,1974,2004,8,217
Wilson Pickett,In the Midnight Hour,1,1,0,1965,2021,15,218
John Lee Hooker,Boom Boom,1,1,0,1962,2004,19,218
Tom Petty,Free Fallin',0,0,0,1989,2021,11,219
Howlin' Wolf,Spoonful,1,1,0,1960,2004,16,219
New Order,Bizarre Love Triangle,0,0,0,1986,2021,8,220
The Left Banke,Walk Away Renee,0,0,0,1966,2004,5,220
Lou Reed,Walk on the Wild Side,0,0,0,1972,2004,20,221
"Crosby, Stills & Nash",Suite: Judy Blue Eyes,0,0,0,1969,2021,12,222
Roy Orbison,"Oh, Pretty Woman",0,0,0,1964,2004,14,222
Eminem feat. Dido,Stan,1,0,1,2000,2021,25,223
Sly and the Family Stone,Dance to the Music,1,1,1,1968,2004,22,223
Derek and the Dominoes,Layla,0,0,0,1970,2021,24,224
Chic,Good Times,1,1,0,1979,2004,18,224
Joni Mitchell,Both Sides Now,1,0,0,1969,2021,20,225
Muddy Waters,Hoochie Coochie Man,1,1,0,1954,2004,7,225
The Smiths,There is a Light That Never Goes Out,0,0,0,1986,2021,4,226
Van Morrison,Moondance,0,0,0,1970,2004,6,226
Creedence Clearwater Revival,Fortunate Son,0,0,0,1969,2021,18,227
James Taylor,Fire And Rain,0,0,0,1970,2004,12,227
Beyonce,Single Ladies (Put A Ring On It),1,1,1,2008,2021,10,228
The Clash,Should I Stay or Should I Go,0,0,0,1982,2004,15,228
Woody Guthrie,This Land is Your Land,0,0,0,1951,2021,6,229
Muddy Waters,Mannish Boy,1,1,0,1955,2004,28,229
The Byrds,Mr. Tambourine Man,0,0,0,1965,2021,8,230
Bob Dylan,Just Like a Woman,0,0,0,1966,2004,12,230
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1,1,1,1987,2021,32,231
Marvin Gaye,Sexual Healing,1,1,0,1982,2004,17,231
The Who,My Generation,0,0,0,1965,2021,4,232
Roy Orbison,Only the Lonely (Know the Way I Feel),0,0,0,1960,2004,19,232
Deee-Lite,Groove is in the Heart,0,0,0,1990,2021,23,233
The Animals,We Gotta Get Out of This Place,0,0,0,1965,2004,55,233
The Supremes,You Keep Me Hanging On,1,1,1,1966,2021,7,234
The Byrds,I'll Feel a Whole Lot Better,0,0,0,1965,2004,5,234
New Order,Blue Monday,0,0,0,1983,2021,62,235
Ray Charles,I Got a Woman,1,1,0,1954,2004,0,235
Bill Withers,Lean on Me,1,1,0,1972,2021,27,236
Buddy Holly,Everyday,0,0,0,1957,2004,4,236
Hank Williams,Your Cheatin' Heart,0,0,0,1953,2021,6,237
Afrika Bambaataa and the Soul Sonic Force,Planet Rock,1,1,0,1982,2004,19,237
Aaliyah,Are You That Somebody?,1,1,1,1998,2021,0,238
Patsy Cline,I Fall to Pieces,1,0,1,1961,2004,10,238
Big Star,September Gurls,0,0,0,1974,2021,8,239
Dion,The Wandered,0,0,0,1961,2004,8,239
Backstreet Boys,I Want It That Way,0,0,0,1999,2021,8,240
Dusty Springfield,Son of a Preacher Man,1,0,1,1968,2004,11,240
Digital Underground,The Humpty Dance,1,1,0,1990,2021,10,241
Sly and the Family Stone,Stand!,1,1,1,1969,2004,3,241
Jerry Lee Lewis,Great Balls of Fire,0,0,0,1957,2021,0,242
Elton John,Rocket Man,0,0,0,1972,2004,0,242
The Beatles,Eleanor Rigby,0,0,0,1966,2021,0,243
Pavement,Summer Babe (Winter Version),0,0,0,1992,2021,20,244
Spencer Davis Group,Gimme Some Lovin',0,0,0,1966,2004,29,244
Beastie Boys,Sabotage,0,0,0,1994,2021,18,245
The Band,The Night They Drove Old Dixie Down,0,0,0,1969,2004,2,245
Faces,Ooh La La,0,0,0,1973,2021,31,246
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,1,1,0,1967,2004,15,246
Joni Mitchell,River,1,0,0,1971,2021,19,247
Sly and the Family Stone,Hot Fun in the Summertime,1,1,1,1969,2004,10,247
N.W.A.,Straight Outta Compton,1,1,0,1988,2021,4,248
The Sugarhill Gang,Rappers Delight,0,0,0,1979,2004,33,248
Joan Jett,Bad Reputation,1,0,1,1980,2021,15,249
Aretha Franklin,Chain of Fools,1,1,1,1967,2004,4,249
The Jimi Hendrix Experience,Purple Haze,1,1,0,1967,2021,31,250
Black Sabbath,Paranoid,0,0,0,1970,2004,11,250
Gloria Gaynor,I Will Survive,1,1,1,1978,2021,5,251
Bobby Darin,Mack the Knife,0,0,0,1959,2004,7,251
Parliament,Flash Light,1,1,0,1977,2021,8,252
The Drifters,Money Honey,1,1,0,1953,2004,3,252
Willie Nelson,Blue Eyes Crying in the Rain,0,0,0,1975,2021,3,253
Mott the Hoople,All the Young Dudes,0,0,0,1972,2004,11,253
The Supremes,Stop! In the Name of Love,1,1,1,1965,2021,2,254
AC/DC,Highway to Hell,0,0,0,1979,2004,18,254
Loretta Lynn,Coal Miner's Daughter,1,0,1,1970,2021,7,255
Blondie,Heart of Glass,1,0,1,1978,2004,8,255
Metallica,Master of Puppets,0,0,0,1986,2021,60,256
Radiohead,Paranoid Android,0,0,0,1997,2004,20,256
Martha and the Vandellas,Heat Wave,1,1,1,1963,2021,27,257
The Troggs,Wild Thing,0,0,0,1966,2004,6,257
Gil-Scott Heron,The Revolution Will Not Be Televised,1,1,0,1971,2021,10,258
The Who,I Can See For Miles,0,0,0,1967,2004,10,258
Neil Young,Heart of Gold,0,0,0,1972,2021,34,259
Jeff Buckley,Hallelujah,0,0,0,1994,2004,58,259
The Dells,"Oh, What a Night",1,1,0,1969,2004,4,260
Curtis Mayfield,Pusherman,1,1,0,1972,2021,31,261
Stevie Wonder,Higher Ground,1,1,0,1973,2004,23,261
Paul Simon,American Tune,0,0,0,1973,2021,5,262
Smokey Robinson,Ooo Baby Baby,1,1,0,1965,2004,10,262
Dolly Parton,Coat of Many Colors,1,0,1,1971,2021,6,263
The Crystals,He's a Rebel,1,1,1,1962,2004,9,263
Marvin Gaye,Let's Get it On,1,1,0,1973,2021,2,264
Randy Newman,Sail Away,0,0,0,1972,2004,0,264
The Replacements,Left of the Dial,0,0,0,1985,2021,22,265
Archie Bell and the Drells,Tighten Up,1,1,0,1968,2004,16,265
Augustus Pablo,King Tubby Meets the Rockers Uptown,1,1,0,1974,2021,15,266
The Ronettes,Walking in the Rain,1,1,1,1964,2004,19,266
Drake feat. Rihanna,Take Care,1,1,1,2011,2021,5,267
New York Dolls,Personality Crisis,0,0,0,1973,2004,24,267
The Isley Brothers,Shout (Parts 1 and 2),1,1,0,1959,2021,6,268
U2,Sunday Bloody Sunday,0,0,0,1983,2004,19,268
The Righteous Brothers,Unchained Melody,0,0,0,1965,2021,0,269
The Modern Lovers,Roadrunner,0,0,0,1976,2004,4,269
Nine Inch Nails,Closer,0,0,0,1994,2021,21,270
George Jones,He Stopped Loving Her Today,0,0,0,1980,2004,0,270
Procol Harum,A Whiter Shade of Pale,0,0,0,1967,2021,27,271
The Beach Boys,Sloop John B,0,0,0,1966,2004,4,271
Thin Lizzy,The Boys Are Back in Town,0,0,0,1976,2021,23,272
Chuck Berry,Sweet Little Sixteen,1,1,0,1958,2004,3,272
Roberta Flack,Killing Me Softly With His Song,1,1,1,1973,2021,47,273
The Beatles,Something,0,0,0,1969,2004,4,273
Al Green,Love and Happiness,1,1,0,1972,2021,2,274
Jefferson Airplaine,Somebody To Love,0,0,0,1967,2004,0,274
Randy Newman,Sail Away,0,0,0,1972,2021,0,275
Bruce Springsteen,Born in the U.S.A.,0,0,0,1984,2004,18,275
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),0,0,0,1978,2021,11,276
The Staple Singers,I'll Take You There,1,1,1,1972,2004,10,276
Bo Diddley,Bo Diddley,1,1,0,1955,2021,10,277
David Bowie,Ziggy Stardust,0,0,0,1972,2004,25,277
Toots and the Maytals,Pressure Drop,1,1,0,1973,2021,13,278
The Cure,Pictures of You,0,0,0,1989,2004,113,278
Radiohead,Karma Police,0,0,0,1997,2021,26,279
The Dixie Cups,Chapel of Love,1,1,1,1964,2004,1,279
The Beatles,Penny Lane,0,0,0,1967,2021,0,280
Bill Withers,Ain't No Sunshine,1,1,0,1971,2004,0,280
Clipse,Grindin',1,1,0,2002,2021,20,281
Stevie Wonder,You Are the Sunshine of My Life,1,1,0,1972,2004,15,281
INXS,Never Tear Us Apart,0,0,0,1988,2021,14,282
Joni Mitchell,Help Me,1,0,0,1974,2004,6,282
Ray Charles,Georgia on My Mind,1,1,0,1960,2021,15,283
Blondie,Call Me,1,0,1,1980,2004,15,283
Leonard Cohen,Suzanne,0,0,0,1967,2021,10,284
Elvis Costello and the Attractions,(What's So Funny 'Bout) Peace Love and Understanding?,0,0,0,1979,2004,13,284
Destiny's Child,Say My Name,1,1,1,1999,2021,28,285
Howlin' Wolf,Smoke Stack Lightning,1,1,0,1956,2004,10,285
ABBA,Dancing Queen,1,0,1,1976,2021,18,286
Pavement,Summer Babe (Winter Version),0,0,0,1992,2004,20,286
AC/DC,You Shook Me All Night Long,0,0,0,1980,2021,29,287
Run-DMC,Walk This Way,1,1,0,1986,2004,26,287
The Funky 4 + 1,That's the Joint,1,1,0,1980,2021,18,288
Barrett Strong,Money (That's What I Want),1,1,0,1960,2004,22,288
Bruce Springsteen,Atlantic City,0,0,0,1982,2021,0,289
The Beatles,Can't Buy Me Love,0,0,0,1964,2004,8,289
Usher feat. Lil Jon and Ludacris,Yeah!,1,1,0,2004,2021,19,290
Eminem feat. Dido,Stan,1,0,1,2000,2004,25,290
Phil Collins,In the Air Tonight,0,0,0,1981,2021,51,291
The Zombies,She's Not There,0,0,0,1964,2004,8,291
A Tribe Called Quest,Can I Kick It?,1,1,0,1990,2021,29,292
The Clash,Train in Vain,0,0,0,1979,2004,11,292
Alice Cooper,School's Out,0,0,0,1972,2021,21,293
Al Green,Tired of Being Alone,1,1,0,1971,2004,8,293
The Velvet Underground,Sweet Jane,0,0,0,1970,2021,17,294
Led Zeppelin,Black Dog,0,0,0,1971,2004,6,294
The Who,Won't Get Fooled Again,0,0,0,1971,2021,43,295
The Rolling Stones,Street Fighting Man,0,0,0,1968,2004,12,295
Bikini Kill,Rebel Girl,1,0,1,1993,2021,21,296
Bob Marley and the Wailers,"Get Up, Stand Up",1,1,0,1975,2004,7,296
Neil Young,Heart of Gold,0,0,0,1972,2004,34,297
Bruce Springsteen,Jungleland,0,0,0,1975,2021,42,298
Blondie,One Way or Another,1,0,1,1978,2004,24,298
Screamin' Jay Hawkins,I Put A Spell on You,1,1,0,1956,2021,8,299
Prince,Sign 'O' the Times,1,1,0,1987,2004,28,299
The B-52s,Rock Lobster,1,0,1,1978,2021,10,300
Madonna,Like a Prayer,1,0,1,1989,2004,10,300
Bob Seger,Night Moves,0,0,0,1976,2021,16,301
Rod Stewart,Do Ya Think I'm Sexy?,0,0,0,1978,2004,34,301
Pink Floyd,Wish You Were Here,0,0,0,1975,2021,95,302
Willie Nelson,Blue Eyes Crying in the Rain,0,0,0,1975,2004,3,302
TLC,No Scrubs,1,1,1,1999,2021,9,303
The Rolling Stones,Ruby Tuesday,0,0,0,1967,2004,0,303
Kraftwerk,Trans-Europe Express,0,0,0,1977,2021,119,304
The Beatles,With a Little Help From My Friends,0,0,0,1967,2004,9,304
The Police,Every Breath You Take,0,0,0,1983,2021,14,305
James Brown,Say It Loud (I'm Black and I'm Proud),1,1,0,1968,2004,0,305
Aretha Franklin,Chain of Fools,1,1,1,1967,2021,4,306
The Jam,That's Entertainment,0,0,0,1980,2004,13,306
Gnarls Barkley,Crazy,1,1,0,2006,2021,2,307
Frankie Lymon and the Teenagers,Why Do Fools Fall In Love,1,1,0,1956,2004,11,307
Liz Phair,Divorce Song,1,0,1,1993,2021,15,308
Jackie Wilson,Lonely Teardrops,1,1,0,1958,2004,0,308
Bill Withers,Ain't No Sunshine,1,1,0,1971,2021,0,309
Tina Turner,What's Love Got to Do With It,1,1,1,1984,2004,19,309
The Doors,Light My Fire,0,0,0,1967,2021,9,310
Black Sabbath,Iron Man,0,0,0,1971,2004,40,310
The Eagles,Hotel California,0,0,0,1976,2021,52,311
The Everly Brothers,Wake Up Little Susie,0,0,0,1957,2004,6,311
Isaac Hayes,Walk on By,1,1,0,1969,2021,41,312
Roy Orbison,In Dreams,0,0,0,1963,2004,20,312
Smokey Robinson and the Miracles,The Tears of a Clown,1,1,0,1967,2021,13,313
Screamin' Jay Hawkins,I Put A Spell on You,1,1,0,1956,2004,8,313
The Stooges,I Wanna Be Your Dog,0,0,0,1969,2021,31,314
Pink Floyd,Comfortably Numb,0,0,0,1979,2004,7,314
John Coltrane,Pt.1-Acknowledgement,1,1,0,1965,2021,64,315
The Animals,Don't Let Me Be Misunderstood,0,0,0,1965,2004,9,315
The Shangri-Las,Leader of the Pack,1,0,1,1964,2021,32,316
Pink Floyd,Wish You Were Here,0,0,0,1975,2004,95,316
Bob Dylan,Visions of Johanna,0,0,0,1966,2021,11,317
Jimmy Cliff,Many Rivers to Cross,1,1,0,1969,2004,24,317
Big Mama Thornton,Hound Dog,1,1,1,1953,2021,16,318
Elvis Costello,Alison,0,0,0,1977,2004,10,318
Tears for Fears,Everybody Wants to Rule the World,0,0,0,1985,2021,28,319
Alice Cooper,School's Out,0,0,0,1972,2004,21,319
2Pac,California Love,1,1,0,1995,2021,12,320
Led Zeppelin,Heartbreaker,0,0,0,1969,2004,26,320
U2,I Still Haven't Found What I'm Looking For,0,0,0,1987,2021,27,321
Neil Young,Cortez the Killer,0,0,0,1975,2004,203,321
Neil Young,After the Gold Rush,0,0,0,1970,2021,10,322
Public Enemy,Fight the Power,1,1,0,1989,2004,44,322
The Everly Brothers,All I have to Do is Dream,0,0,0,1958,2021,1,323
Patti Smith Group,Dancing Barefoot,1,0,1,1979,2004,8,323
Billy Joel,Scenes From an Italian Restaurant,0,0,0,1977,2021,14,324
The Supremes,Baby Love,1,1,1,1964,2004,10,324
Iggy Pop,Lust for Life,0,0,0,1977,2021,71,325
The Young Rascals,Good Lovin',0,0,0,1966,2004,12,325
Rilo Kiley,Portions for Foxes,1,0,1,2004,2021,33,326
James Brown,Get Up (I Feel Like Being a) Sex Machine,1,1,0,1970,2004,14,326
Mary J. Blige,Real Love,1,1,1,1992,2021,4,327
Jerry Butler and the Impressions,For Precious Love,1,1,0,1958,2004,18,327
Red Hot Chili Peppers,Under the Bridge,1,1,0,1991,2021,28,328
The Doors,The End,0,0,0,1967,2004,52,328
Bad Bunny,Safaera,1,1,0,2020,2021,11,329
"Earth, Wind, and Fire",That's the Way of the World,1,1,0,1975,2004,35,329
The Notorious B.I.G,Big Poppa,1,1,0,1994,2021,21,330
Queen,We Will Rock You,0,0,0,1977,2004,11,330
The Marvelettes,Please Mr. Postman,1,1,1,1961,2021,0,331
Bonnie Raitt,I Can't Make You Love Me,1,0,1,1991,2004,32,331
Rihanna feat. Jay-Z,Umbrella,1,1,1,2007,2021,10,332
Bob Dylan,Subterranean Homesick Blues,0,0,0,1965,2004,8,332
The Temptations,Papa Was A Rollin' Stone,1,1,0,1972,2021,114,333
Norman Greenbaum,Spirit in the Sky,0,0,0,1970,2004,29,333
The Grateful Dead,Ripple,0,0,0,1970,2021,31,334
The Rolling Stones,Wild Horses,0,0,0,1971,2004,20,334
Marshall Jefferson,Move Your Body (The House Music Anthem),1,1,0,1986,2021,65,335
The Velvet Underground,Sweet Jane,0,0,0,1970,2004,17,335
Hall and Oates,She's Gone,0,0,0,1973,2021,62,336
Aerosmith,Walk This Way,0,0,0,1976,2004,13,336
Cher,Believer,1,0,1,1998,2021,29,337
Michael Jackson,Beat It,1,1,0,1982,2004,38,337
Black Sabbath,Paranoid,0,0,0,1970,2021,11,338
Paul McCartney,Maybe I'm Amazed,0,0,0,1970,2004,16,338
Prince,1999,1,1,0,1982,2021,34,339
The Supremes,You Keep Me Hanging On,1,1,1,1966,2004,7,339
The Clash,White Man in Hammersmith Palais,0,0,0,1978,2021,16,340
The Who,Baba O'Riley,0,0,0,1971,2004,66,340
