artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
The Monkees,I'm a Believer,0,0,0,1966,2021,5,341
Jimmy Cliff,The Harder They Come,1,1,0,1975,2004,10,341
Chuck Berry,Promised Land,1,1,0,1964,2021,3,342
Dion,Runaround Sue,0,0,0,1961,2004,22,342
The Doobie Brothers,What a Fool Believes,0,0,0,1979,2021,16,343
Lavern Baker,Jim Dandy,1,1,1,1956,2004,9,343
Black Sabbath,Iron Man,0,0,0,1971,2021,40,344
Big Brother and the Holding Company,Piece of My Heart,0,0,0,1968,2004,24,344
Carole King,It's Too Late,1,0,1,1971,2021,9,345
Ritchie Valens,La Bamba,1,1,0,1958,2004,6,345
BTS,Dynamite,1,1,0,2020,2021,9,346
Dr. Dre and 2Pac,California Love,1,1,0,1996,2004,12,346
Elvis Presley,Heartbreak Hotel,0,0,0,1958,2021,0,347
Elton John,Candle in the Wind,0,0,0,1973,2004,8,347
Roxy Music,Virginia Plain,0,0,0,1972,2021,14,348
The Isley Brothers,The Lady (Part 1 and 2),1,1,0,1973,2004,31,348
The Zombies,Time of the Season,0,0,0,1968,2021,8,349
Ben E. King,Spanish Harlem,1,1,0,1960,2004,8,349
John Prine,Angel From Montgomery,0,0,0,1971,2021,14,350
Little Eva,The Loco-Motion,1,1,1,1962,2004,8,350
The Platters,The Great Pretender,1,1,0,1955,2004,4,351
Ice Cube,It Was a Good Day,1,1,0,1992,2021,23,352
Elvis Presley,All Shook Up,0,0,0,1957,2004,6,352
Eurythmics,Sweet Dreams (Are Made Of This),1,0,1,1983,2021,26,353
Eric Clapton,Tears in Heaven,0,0,0,1992,2004,12,353
Michael Jackson,Rock With You,1,1,0,1979,2021,18,354
Elvis Costello,Watching the Detectives,0,0,0,1977,2004,23,354
Thelma Houston,Don't Leave Me This Way,1,1,1,1976,2021,37,355
Creedence Clearwater Revival,Bad Moon Rising,0,0,0,1969,2004,5,355
Cheap Trick,Surrender,0,0,0,1978,2021,15,356
Taylor Swift,Blank Space,1,0,1,2014,2021,5,357
Patti Smith,Because the Night,0,0,0,1978,2021,10,358
Martha and the Vandellas,Nowhere to Run,1,1,1,1965,2004,6,358
Fugees,Killing Me Softly With His Song,1,1,1,1996,2021,33,359
Muddy Waters,Get My Mojo Working,1,1,0,1957,2004,25,359
Prince,Little Red Corvette,1,1,0,1982,2021,20,360
Roberta Flack,Killing Me Softly With His Song,1,1,1,1973,2004,47,360
Jimmy Cliff,The Harder They Come,1,1,0,1972,2021,10,361
The Clash,Complete Control,0,0,0,1979,2004,11,361
Kacey Musgraves,Merry Go 'Round,1,0,1,2013,2021,10,362
The Beatles,All You Need Is Love,0,0,0,1967,2004,26,362
Bob Marley and the Wailers,Could You Be Loved,1,1,0,1980,2021,14,363
The Box Tops,The Letter,0,0,0,1967,2004,5,363
The Grateful Dead,Box of Rain,0,0,0,1970,2021,17,364
Bob Dylan,Highway 61 Revisited,0,0,0,1965,2004,7,364
Sex Pistols,God Save The Queen,0,0,0,1977,2021,19,365
The Righteous Brothers,Unchained Melody,0,0,0,1965,2004,0,365
The Crystals,Da Doo Ron Ron,1,1,1,1963,2021,6,366
Frank Ocean,Thinkin Bout You,1,1,0,2012,2021,6,367
Cream,White Room,0,0,0,1968,2004,23,367
Soundgarden,Black Hole Sun,0,0,0,1994,2021,16,368
Depeche Mode,Personal Jesus,0,0,0,1989,2004,6,368
The Cars,Just What I Needed,0,0,0,1978,2021,17,369
Bo Diddley,I'm a Man,1,1,0,1955,2004,7,369
Buddy Holly,Peggy Sue,0,0,0,1958,2021,8,370
Elton John,Bennie and the Jets,0,0,0,1973,2021,29,371
The Who,I Can't Explain,0,0,0,1965,2004,9,371
Bonnie Raitt,I Can't Make You Love Me,1,0,1,1991,2021,32,372
Television,Marquee Moon,0,0,0,1977,2004,24,372
Drake,Hotline Bling,1,1,0,2015,2021,12,373
Sam Cooke,Wonderful World,1,1,0,1969,2004,4,373
William DeVaughn,Be Thankful for What You Got,0,0,0,1974,2021,34,374
Chuck Berry,Brown Eyed Handsome Man,1,1,0,1956,2004,6,374
The Drifters,Up On the Roof,1,1,0,1964,2021,9,375
Pink Floyd,Another Brick in the Wall Part 2,0,0,0,1979,2004,0,375
Merle Haggard,Mama Tried,0,0,0,1968,2021,11,376
Radiohead,Fake Plastic Trees,0,0,0,1995,2004,0,376
The Cure,Pictures of You,0,0,0,1989,2021,113,377
Ray Charles,Hit the Road Jack,1,1,0,1961,2004,4,377
The Killers,Mr. Brightside,0,0,0,2003,2021,6,378
U2,Pride (In the Name of Love),0,0,0,1984,2004,27,378
D'Angelo,Untitled (How Does It Feel),1,1,0,2000,2021,37,379
R.E.M.,Radio Free Europe,0,0,0,1983,2004,11,379
Fountains of Wayne,Radiation Vibe,0,0,0,1996,2021,9,380
Elton John,Goodbye Yellow Brick Road,0,0,0,1973,2004,8,380
The Slits,Typical Girls,1,1,1,1979,2021,32,381
Aaron Neville,Tell It Like It Is,1,1,0,1966,2004,3,381
Fiona Apple,Paper Bag,1,0,1,1999,2021,9,382
The Verve,Bitter Sweet Symphony,0,0,0,1997,2004,66,382
Childish Gambino,Redbone,1,1,0,2016,2021,30,383
The Allman Brothers Band,Whipping Post,0,0,0,1969,2004,26,383
"Cardi B, J Balvin, and Bad Bunny",I Like It,1,1,1,2018,2021,13,384
The Beatles,Ticket To Ride,0,0,0,1965,2004,7,384
Diana Ross,I'm Coming Out,1,1,1,1980,2021,51,385
"Crosby, Stills, Nash and Young",Ohio,0,0,0,1970,2004,12,385
The Kinks,Lola,0,0,0,1970,2021,5,386
Eric B. and Rakim,I Know You Got Soul,1,1,0,1987,2004,8,386
New York Dolls,Personality Crisis,0,0,0,1973,2021,24,387
Elton John,Tiny Dancer,0,0,0,1971,2004,13,387
DMX,Party Up (Up in Here),1,1,0,1999,2021,8,388
The Police,Roxanne,0,0,0,1979,2004,16,388
Pretenders,Brass in Pocket,1,0,1,1979,2021,3,389
The Temptations,Just My Imagination,1,1,0,1971,2004,23,389
Metallica,Enter Sandman,0,0,0,1991,2021,70,390
The Four Tops,Baby I Need Your Loving,1,1,0,1964,2004,13,390
Eric Church,Springsteen,0,0,0,2011,2021,9,391
Freda Payne,Band of Gold,1,1,1,1970,2004,7,391
Coldplay,Fix You,0,0,0,2005,2021,14,392
The Five Stairsteps,O-o-h Child,1,1,0,1970,2004,15,392
James Brown,Say It Loud (I'm Black and I'm Proud),1,1,0,1968,2021,0,393
The Lovin' Spoonful,Summer In the City,0,0,0,1966,2004,10,393
Jeff Buckley,Grace,0,0,0,1994,2021,25,394
Elvis Presley,Can't Help Falling in Love,0,0,0,1961,2004,7,394
Afrika Bambaataa and the Soul Sonic Force,Planet Rock,1,1,0,1982,2021,19,395
The Shangri-Las,Remember (Walkin' in the Sand),1,0,1,1964,2004,2,395
Elvis Costello,Alison,0,0,0,1977,2021,10,396
Big Star,Thirteen,0,0,0,1972,2004,5,396
Public Enemy,Bring the Noise,1,1,0,1987,2021,14,397
Blue Oyster Cult,(Don't Fear) the Reaper,0,0,0,1976,2004,12,397
Duran Duran,Hungry Like the Wolf,0,0,0,1982,2021,8,398
Lynyrd Skynyrd,Sweet Home Alabama,0,0,0,1974,2004,23,398
Sylvester,You Make Me Feel (Mighty Real),1,1,1,1978,2021,29,399
Metallica,Enter Sandman,0,0,0,1991,2004,70,399
David Bowie,Station to Station,0,0,0,1976,2021,87,400
Paul Revere and the Raiders,Kicks,0,0,0,1966,2004,7,400
Fleetwood Mac,Go Your Own Way,1,0,1,1977,2021,4,401
The Shirelles,Tonight's the Night,1,1,1,1960,2004,5,401
Bill Withers,Lovely Day,1,1,0,1977,2021,20,402
Sly and the Family Stone,Thank You (Falettinme Be Mice Elf Agin),1,1,1,1970,2004,18,402
Rufus and Chaka Khan,Ain't Nobody,1,1,1,1983,2021,37,403
Eddie Cochran,C'mon Everybody,0,0,0,1958,2004,15,403
Kiss,Rock and Roll All Nite,0,0,0,1975,2021,13,404
Bob Dylan,Visions of Johanna,0,0,0,1966,2004,11,404
Selena,Amor Prohibido,1,1,1,1994,2021,12,405
The Carpenters,We've Only Just Begun,1,0,1,1970,2004,12,405
Run-DMC,Sucker MC's,1,1,0,1984,2021,11,406
R. Kelly,I Believe I Can Fly,1,1,0,1996,2004,37,406
Lynyrd Skynyrd,Free Bird,0,0,0,1973,2021,69,407
Nirvana,In Bloom,0,0,0,1991,2004,24,407
Cat Stevens/Yusuf,Father and Son,1,1,0,1970,2021,14,408
Aerosmith,Sweet Emotion,0,0,0,1975,2004,35,408
Foo Fighters,Everlong,0,0,0,1997,2021,31,409
Cream,Crossroads,0,0,0,1968,2004,21,409
Allman Brothers Band,Whipping Post,0,0,0,1969,2021,25,410
The Pixies,Monkey Gone to Heaven,1,1,1,1989,2004,3,410
Wilco,Heavy Metal Drummer,0,0,0,2002,2021,18,411
Donna Summer,I Feel Love,1,1,1,1977,2004,41,411
Neneh Cherry,Buffalo Stance,1,1,1,1988,2021,28,412
Bobbie Gentry,Ode to Billie Joe,1,0,1,1967,2004,8,412
Them,Gloria,0,0,0,1965,2021,20,413
Little Richard,The Girl Can't Help It,1,1,0,1957,2004,3,413
Blondie,Dreaming,1,0,1,1979,2021,26,414
The Coasters,Young Blood,1,1,0,1957,2004,1,414
Depeche Mode,Enjoy the Silence,0,0,0,1990,2021,26,415
The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1,1,0,1965,2004,11,415
Pearl Jam,Alive,0,0,0,1991,2021,32,416
Don Henley,The Boys of Summer,0,0,0,1984,2004,32,416
Mark Ronson feat. Bruno Mars,Uptown Funk,1,1,0,2015,2021,17,417
N.W.A.,Fuck tha Police,1,1,0,1989,2004,30,417
Booker T. and the MGs,Green Onions,1,1,0,1962,2021,7,418
"Crosby, Stills & Nash",Suite: Judy Blue Eyes,0,0,0,1969,2004,12,418
Mariah Carey,Fantasy,1,1,1,1995,2021,21,419
Dr. Dre feat. Snoop Doggy Dogg,Nuthin' But a 'G' Thang,1,1,0,1992,2004,9,419
The Mamas and the Papas,California Dreamin',1,0,1,1965,2021,7,420
The Isley Brothers,It's Your Thing,1,1,0,1969,2004,9,420
The Smiths,How Soon Is Now?,0,0,0,1984,2021,20,421
Billy Joel,Piano Man,0,0,0,1973,2004,30,421
"Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage",Flava in Ya Ear (Remix),1,1,0,1994,2021,13,422
The Kinks,Lola,0,0,0,1970,2004,5,422
Fiona Apple,Criminal,1,0,1,1996,2021,21,423
Elvis Presley,Blue Suede Shoes,0,0,0,1956,2004,0,423
Blackstreet feat. Dr. Dre and Queen Pen,No Diggity,1,1,0,1996,2021,22,424
The Rolling Stones,Tumbling Dice,0,0,0,1972,2004,11,424
Muddy Waters,Mannish Boy,1,1,0,1955,2021,28,425
The Smiths,"William, It Was Really Nothing",0,0,0,1984,2004,4,425
Nicki Minaj,Super Bass,1,1,1,2010,2021,16,426
Deep Purple,Smoke on the Water,0,0,0,1973,2004,51,426
Sugar Hill Gang,Rapper's Delight,1,1,0,1979,2021,17,427
U2,New Year's Day,0,0,0,1983,2004,36,427
Harry Styles,Sign of the Times,0,0,0,2017,2021,16,428
Mitch Ryder and the Detroit Wheels,Devil With a Blue Dress On / Good Golly Miss Molly,0,0,0,1966,2004,30,428
Queen and David Bowie,Under Pressure,0,0,0,1981,2021,29,429
Solomon Burke,Everybody Needs Somebody to Love,1,1,0,1964,2004,57,429
Pete Rock and CL Smooth,They Reminisce Over You,1,1,0,1992,2021,33,430
The Clash,White Man in Hammersmith Palais,0,0,0,1979,2004,16,430
Prince,Adore,1,1,0,1987,2021,0,431
Fats Domino,Ain't It a Shame,1,1,0,1955,2004,0,431
Eddie Cochran,Summertime Blues,0,0,0,1958,2021,10,432
Gladys Knight and the Pips,Midnight Train to Georgia,1,1,1,1973,2004,12,432
Pet Shop Boys,West End Girls,0,0,0,1984,2021,43,433
Led Zeppelin,Ramble On,0,0,0,1969,2004,20,433
Ramones,Sheena Is a Punk Rocker,0,0,0,1977,2021,5,434
Wilson Pickett,Mustang Sally,1,1,0,1966,2004,7,434
Rush,Limelight,0,0,0,1981,2021,23,435
The Rolling Stones,Beast of Burden,0,0,0,1978,2004,20,435
Carly Rae Jepsen,Call Me Maybe,1,0,1,2012,2021,4,436
Love,Alone Again Or,1,1,0,1968,2004,18,436
Lucinda Williams,Passionate Kisses,1,0,1,1988,2021,8,437
Elvis Presley,Love Me Tender,0,0,0,1956,2004,3,437
Megan Thee Stallion feat. Beyonce,Savage (Remix),NA,NA,NA,2020,2021,2,438
The Stooges,I Wanna Be Your Dog,0,0,0,1969,2004,31,438
Celia Cruz,La Vida Es un Carnaval,1,1,1,1998,2021,21,439
John Cougar Mellencamp,Pink Houses,0,0,0,1983,2004,17,439
Alicia Keys,If I Ain't Got You,1,1,1,2003,2021,24,440
Salt-n-Pepa,Push It,1,1,1,1987,2004,90,440
Miranda Lambert,The House That Built Me,1,0,1,2010,2021,20,441
The Del-Vikings,Come Go With Me,1,1,0,1957,2004,1,441
Motorhead,Ace of Spades,0,0,0,1980,2021,13,442
Little Richard,Keep a Knockin',1,1,0,1957,2004,6,442
Fall Out Boy,"Sugar, We're Goin Down",0,0,0,2005,2021,25,443
Bob Marley and the Wailers,I Shot the Sheriff,1,1,0,1973,2004,0,443
50 Cent,In Da Club,1,1,0,2003,2021,0,444
Sonny and Cher,I Got You Babe,1,0,1,1965,2004,7,444
T. Rex,Cosmic Dancer,0,0,0,1971,2021,0,445
Nirvana,Come As You Are,0,0,0,1991,2004,16,445
Bruce Springsteen,Rosalita (Come Out Tonight),0,0,0,1973,2021,27,446
Toots and the Maytals,Pressure Drop,1,1,0,1973,2004,13,446
The Beatles,Help!,0,0,0,1965,2021,10,447
The Shangri-Las,Leader of the Pack,1,0,1,1964,2004,32,447
Erykah Badu,Tyrone,1,1,1,1997,2021,33,448
The Velvet Underground,Heroin,0,0,0,1967,2004,52,448
Blue Oyster Cult,(Don't Fear) The Reaper,0,0,0,1976,2021,12,449
The Beatles,Penny Lane,0,0,0,1967,2004,0,449
Neil Young,Powderfinger,0,0,0,1979,2021,9,450
Glen Campbell,By the Time I Get to Phoenix,0,0,0,1967,2004,11,450
Migos feat. Lil Uzi Vert,Bad and Boujee,1,1,0,2016,2021,15,451
Chubby Checker,The Twist,1,1,0,1960,2004,6,451
Toto,Africa,0,0,0,1982,2021,30,452
Sam Cooke,Cupid,1,1,0,1961,2004,7,452
Missy Elliott,The Rain (Supa Dupa Fly),1,1,1,1997,2021,31,453
Guns N' Roses,Paradise City,0,0,0,1987,2004,20,453
Sister Nancy,Bam Bam,1,1,1,1982,2021,12,454
George Harrison,My Sweet Lord,0,0,0,1970,2004,30,454
Nirvana,All Apologies,0,0,0,1993,2004,16,455
Lana Del Rey,Summertime Sadness,1,0,1,2012,2021,17,456
Lloyd Price,Stagger Lee,1,1,0,1958,2004,0,456
Bon Jovi,Livin' on a Prayer,0,0,0,1986,2021,45,457
Ramones,Sheena Is a Punk Rocker,0,0,0,1977,2004,5,457
Beck,Loser,0,0,0,1993,2021,22,458
Sam and Dave,Soul Man,1,1,0,1967,2004,16,458
Sade,No Ordinary Love,1,1,1,1992,2021,22,459
Muddy Waters,Rollin' Stone,1,1,0,1948,2004,7,459
Steel Pulse,Ku Klux Klan,1,1,0,1978,2021,30,460
The Chiffons,One Fine Day,1,1,1,1963,2004,6,460
Roy Orbison,Crying,0,0,0,1962,2021,5,461
Prince,Kiss,1,1,0,1986,2004,0,461
Van Morrison,Into the Mystic,0,0,0,1970,2021,16,462
The Staple Singers,Respect Yourself,1,1,1,1971,2004,8,462
John Lee Hooker,Boom Boom,1,1,0,1962,2021,19,463
The Beatles,Rain,0,0,0,1966,2004,9,463
Joni Mitchell,Help Me,1,0,0,1974,2021,6,464
The Four Tops,Standing in the Shadows of Love,1,1,0,1966,2004,15,464
Daft Punk feat. Pharrell Williams,Get Lucky,0,0,0,2013,2021,31,465
Cheap Trick,Surrender,0,0,0,1978,2004,15,465
Luther Vandross,Never Too Much,1,1,0,1981,2021,38,466
Del Shannon,Runaway,0,0,0,1961,2004,7,466
Nirvana,Come as You Are,0,0,0,1991,2021,16,467
Guns N' Roses,Welcome to the Jungle,0,0,0,1987,2004,39,467
Mazzy Star,Fade Into You,0,0,0,1993,2021,19,468
The Stooges,Search and Destroy,0,0,0,1973,2004,17,468
Dixie Chicks,Goodbye Earl,1,0,1,2000,2021,16,469
Carole King,It's Too Late,1,0,1,1970,2004,9,469
Gladys Knight and the Pips,Midnight Train to Georgia,1,1,1,1973,2021,12,470
Joni Mitchell,Free Man in Paris,1,0,0,1974,2004,15,470
The Animals,The House of the Rising Sun,0,0,0,1964,2021,12,471
Willie Nelson,On the Road Again,0,0,0,1980,2004,8,471
Peter Gabriel,Solsbury Hill,0,0,0,1977,2021,27,472
The Supremes,Where Did Our Love Go,1,1,1,1964,2004,3,472
Tammy Wynette,Stand by Your Man,0,0,0,1968,2021,9,473
Aretha Franklin,"Do Right Woman, Do Right Man",1,1,1,1967,2004,8,473
Curtis Mayfield,Move On Up,1,1,0,1970,2021,14,474
Funkadelic,One Nation Under a Groove,1,1,0,1978,2004,0,474
Janet Jackson,Rhythm Nation,1,1,1,1989,2021,47,475
Kris Kristofferson,Sunday Mornin' Comin' Down,0,0,0,1970,2021,6,476
Foreigner,I Want to Know What Love Is,0,0,0,1984,2004,14,476
The Go-Gos,Our Lips Are Sealed,1,0,1,1981,2021,16,477
Rick James,Super Freak,1,1,0,1981,2004,14,477
Juvenile feat. Lil Wayne and Mannie Fresh,Back That Azz Up,1,1,0,1998,2021,15,478
Jefferson Airplaine,White Rabbit,0,0,0,1967,2004,27,478
Santana,Oye Como Va,1,1,0,1970,2021,37,479
Labelle,Lady Marmalade,1,1,1,1975,2004,8,479
Biz Markie,Just a Friend,1,1,0,1989,2021,0,480
Van Morrison,Into the Mystic,0,0,0,1970,2004,16,480
Robert Johnson,Cross Road Blues,1,1,0,1937,2021,8,481
David Bowie,Young Americans,0,0,0,1975,2004,25,481
Lady Gaga,Bad Romance,1,0,1,2009,2021,32,482
Alice Cooper,I'm Eighteen,0,0,0,1971,2004,25,482
The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1,1,0,1965,2021,11,483
The Cure,Just Like Heaven,0,0,0,1987,2004,49,483
Weezer,Buddy Holly,0,0,0,1994,2021,0,484
Joan Jett,I Love Rock 'N Roll,1,0,1,1982,2004,15,484
Azealia Banks,212,1,1,1,2011,2021,15,485
Paul Simon,Graceland,0,0,0,1986,2004,40,485
Lil Wayne,A Milli,1,1,0,2009,2021,13,486
The Smiths,How Soon Is Now?,0,0,0,1985,2004,20,486
Solange,Cranes in the Ski,1,1,1,2016,2021,26,487
The Drifters,Under the Boardwalk,1,1,0,1964,2004,8,487
The Weeknd,House of Balloons,1,1,0,2011,2021,26,488
Fleetwood Mac,Rhiannon (Will You Ever Win),1,0,1,1975,2004,14,488
The Breeders,Cannonball,1,0,1,1993,2021,55,489
Gloria Gaynor,I Will Survive,1,1,1,1978,2004,5,489
Lil Nas X,Old Town Road,1,1,0,2019,2021,13,490
The Rolling Stones,Brown Sugar,0,0,0,1971,2004,29,490
Guns N' Roses,Welcome to the Jungle,0,0,0,1987,2021,39,491
Dusty Springfield,You Don't Have to Say You Love Me,1,0,1,1966,2004,18,491
Miles Davis,So What,1,1,0,1959,2021,33,492
Jackson Browne,Running On Empty,0,0,0,1977,2004,21,492
The Pixies,Where Is My Mind?,0,0,0,1988,2021,27,493
The Crystals,Then He Kissed Me,1,1,1,1963,2004,10,493
Cyndi Lauper,Time After Time,1,0,1,1983,2021,14,494
The Eagles,Desperado,0,0,0,1973,2004,18,494
Carly Simon,You're So Vain,1,1,1,1972,2021,18,495
The Miracles,Shop Around,1,1,1,1960,2004,12,495
Harry Nilsson,Without You,0,0,0,1971,2021,7,496
The Rolling Stones,Miss You,0,0,0,1978,2004,25,496
Lizzo,Truth Hurts,1,1,1,2017,2021,6,497
Weezer,Buddy Holly,0,0,0,1994,2004,0,497
Townes Van Sandt,Pancho and Lefty,0,0,0,1972,2021,12,498
Brook Benton,Rainy Night in Georgia,1,1,0,1970,2004,13,498
The Supremes,Baby Love,1,1,1,1964,2021,10,499
Thin Lizzy,The Boys Are Back in Town,0,0,0,1976,2004,23,499
Kanye West,Stronger,1,1,0,2007,2021,0,500
Boston,More Than a Feeling,0,0,0,1976,2004,17,500
Bob Marley and the Wailers,"Get Up, Stand Up",1,1,0,1973,2021,6,260
Ike and Tina Turner,"River Deep, Mountain High",1,1,1,1966,2021,4,33
Jefferson Airplaine,White Rabbit,0,0,0,1967,2021,27,455
Jorge Ben,Ponta de Lano Africano (Umbabarauma),1,1,0,1976,2021,16,351
Motley Crue,Ace of Spades,0,0,0,1980,2021,13,442
The Notorious B.I.G.,Juicy,1,1,0,1994,2021,19,32
The Beach Boys,Wouldn't It Be Nice,0,0,0,1966,2021,8,297
Beastie Boys,Sabotage,0,0,0,1994,2004,17,475
Bee Gees,How Deep Is Your Love,0,0,0,1977,2004,17,366
Eurythmics,Sweet Dreams (Are Made Of This),1,0,1,1983,2004,26,356
Prince and the Revolution,Purple Rain,1,1,0,1984,2004,17,143
Ray Charles,Georgia on My Mind,1,1,0,1960,2004,15,44
Simon and Garfunkel,The Sound of Silence,0,0,0,1965,2004,2,156
The B-52s,Love Shack,1,0,1,1989,2004,15,243
The B-52s,Rock Lobster,1,0,1,1979,2004,5,146
The Jimi Hendrix Experience,Little Wing,1,1,0,1968,2004,35,357
The Jimi Hendrix Experience,The Wind Cries Mary,1,1,0,1967,2004,14,370
The Jimi Hendrix Experience,Voodoo Child (Slight Return),1,1,0,1968,2004,65,101
The Lovin' Spoonful,Do You Believe in Magic,0,0,0,1965,2004,7,216
Smokey Robinson and the Miracles,The Tracks of My Tears,1,1,1,1965,2004,20,50